,名前,ポジション,デュレーション,00_01_GameCount,00_02_Time Out,00_03_Point,00_04_#,01_SV_00,01_SV_01,01_SV_02,01_SV_03,02_RV_00,02_RV_01,02_RV_02,02_RV_03,利き手,攻守
2,Abyell,106600,6533,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Back,B,BS,MAEDA Miyu,B,Push,B,L,攻撃
3,Abyell,119133,6333,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Back,B,BS,MAEDA Miyu,B,Stop,FMS,L,攻撃
6,Abyell,171400,7800,0:00,0:00,RedELF,#06,KIMURA Kasumi,Back,B,FMS,AKAE Kaho,F,Push,BMS,R,攻撃
7,Abyell,187333,6800,0:00,0:00,RedELF,#04,KIMURA Kasumi,Back,F,FMS,AKAE Kaho,F,Push,BM,R,攻撃
10,Abyell,230800,5666,0:00,0:00,,SV Let,NAGASAKI Miyu,Back,B,,MAEDA Miyu,,,,L,攻撃
11,Abyell,239533,8333,0:00,0:00,Abyell,#05,NAGASAKI Miyu,Back,B,BMS,MAEDA Miyu,B,Flick,B,L,攻撃
12,Abyell,254933,7200,0:00,0:00,RedELF,#02,NAGASAKI Miyu,Back,B,BMS,MAEDA Miyu,B,Flick,F,L,攻撃
15,Abyell,308900,4866,0:00,0:00,Abyell,#01,KIMURA Kasumi,Back,F,FMS,AKAE Kaho,F,Push,ネット,R,攻撃
16,Abyell,320900,5333,0:00,0:00,Abyell,#03,KIMURA Kasumi,Back,B,FMS,AKAE Kaho,F,Push,B,R,攻撃
19,Abyell,374500,7533,0:00,0:00,RedELF,#04,NAGASAKI Miyu,Back,B,BMS,MAEDA Miyu,B,Flick,ネットイン,L,攻撃
20,Abyell,397166,5933,0:00,0:00,Abyell,#01,NAGASAKI Miyu,Side,B,BMS,MAEDA Miyu,B,Flick,ネット,L,攻撃
22,Abyell,512100,5600,1:00,0:00,RedELF,#02,KIMURA Kasumi,Back,F,BMS,MAEDA Miyu,B,Stop,FS,R,攻撃
23,Abyell,522900,8733,1:00,0:00,RedELF,#06,KIMURA Kasumi,Back,F,BMS,MAEDA Miyu,B,Stop,FS,R,攻撃
27,Abyell,649966,6000,1:00,0:01,Abyell,#03,NAGASAKI Miyu,Back,B,FMS,AKAE Kaho,F,Push,B,L,攻撃
28,Abyell,662900,7466,1:00,0:01,RedELF,#04,NAGASAKI Miyu,Back,B,FMS,AKAE Kaho,F,Push,B,L,攻撃
32,Abyell,722000,8200,1:00,0:01,Abyell,#05,KIMURA Kasumi,Back,F,BMS,MAEDA Miyu,B,Stop,FS,R,攻撃
33,Abyell,739466,5533,1:00,0:01,RedELF,#02,KIMURA Kasumi,(Side),F,B,MAEDA Miyu,B,ドライブ,B,R,攻撃
